datasource_id	flow_id	flow_timestamp	channel_classifier_id	flow_type
"NEPOOL_CLP_51095395083_294081009"	"513f00710f7940c19187dfbbfd24f34d"	"2019-10-19T11:05:13-05:00"	"FORECAST"	"scenario"
"NYISO_ORU_5235106087"	"d3391f7488df40ab99bcb93ca9ded9a1"	"2019-10-19T10:42:54-05:00"	"FORECAST"	"scenario"
"NYISO_ORU_0060032037"	"dfeb5fbc32e8461d8632f634fb1ca2c7"	"2019-10-19T10:42:54-05:00"	"FORECAST"	"scenario"
"NEPOOL_CMP_035014916890"	"3f371f049be345f4ba3e45d8c12bea39"	"2019-10-19T06:40:52-05:00"	"FORECAST"	"scenario"
"NEPOOL_MECO_1365034010"	"feffe620a15c4ab8a25d9cd5f7950db1"	"2019-10-19T04:30:26-05:00"	"FORECAST"	"scenario"
"NYISO_CONED_421211022780211"	"fec9c2c009e041ab9ab6cef59fe4da1f"	"2019-10-19T02:15:55-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_NRI_7756203001"	"b5231cdb984b4e5fa6261db975c2a7b7"	"2019-10-19T01:51:14-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_PSNH_56229296090_948953008"	"191f3bdbf8084ba5ac5fef941eafd9c9"	"2019-10-19T01:51:06-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_CLP_51559064043_762042009"	"c31441adb88d4ee3ae95de22eb277e66"	"2019-10-19T01:50:46-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_CLP_51977576099_028941004"	"e74fa835f2e649a6845e3327416b1c3e"	"2019-10-19T01:50:41-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_CLP_51356215020_088882006"	"40e642f5f3aa40c1abff81d9116bb12b"	"2019-10-19T01:50:32-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_CLP_51273004085_204762006"	"6a76ba8b227c4faabffff7a22ee41909"	"2019-10-19T01:50:27-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_UI_1930020004020"	"d65f9cec84844916b9ed407ffa79fac4"	"2019-10-19T01:50:17-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_NRI_1526614005"	"ecf56e7d1fa64de7a6e52cac6433246d"	"2019-10-19T01:50:14-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_MECO_6351619046"	"c954147ea50e4e41beb3a8470071790b"	"2019-10-19T01:50:13-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_NRI_2770236007"	"afb365752f484d7e933ae436718c8bf4"	"2019-10-19T01:50:10-05:00"	"THERM_FACTOR"	"scenario"
"NYISO_CONED_688457016500002"	"6db005054e3a4c3382edecfbf09105e5"	"2019-10-19T01:50:07-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_MECO_0797421017"	"22df7b53f556437ebc01c38cb0d0e406"	"2019-10-19T01:50:04-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_BECO_26112901009"	"d2d4c215f68b40aea85245f1c2babd19"	"2019-10-19T01:50:01-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_CLP_51387286099_264692001"	"73cd28e5a9fd4e62a883c34bec57c7ee"	"2019-10-19T01:49:54-05:00"	"THERM_FACTOR"	"scenario"
"NYISO_CONED_302453135005011"	"b163913c758f426aa1216496d11a7f63"	"2019-10-19T01:49:54-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_PSNH_80048380218"	"0aeb1c0d92a34f1d8d35a1eb9bf1e715"	"2019-10-19T01:49:49-05:00"	"THERM_FACTOR"	"scenario"
"NYISO_ORU_5518578003"	"ea4d9d5370d14b1bb07e53ac685730fe"	"2019-10-19T01:49:43-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_CLP_51363758046_738012002"	"e745912fdd5e4dfaa2f632bc44d99966"	"2019-10-19T01:49:26-05:00"	"THERM_FACTOR"	"scenario"
"NYISO_NYSEG_N01000000269324"	"75d1f95791e94ba9a771c222d6d1de71"	"2019-10-19T01:49:24-05:00"	"THERM_FACTOR"	"scenario"
"NYISO_NYSEG_N01000000057018"	"f89a3b0c7b064ad2848a92899caa11c3"	"2019-10-19T01:49:21-05:00"	"THERM_FACTOR"	"scenario"
"NYISO_CONED_431121090105019"	"f9773d3a9bbe4d4cb7684810d5226fff"	"2019-10-19T01:49:19-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_NRI_7754394009"	"e209ee90ded2441c8fbac232b9f5e86b"	"2019-10-19T01:49:13-05:00"	"THERM_FACTOR"	"scenario"
"NYISO_CONED_688047112000013"	"53a1591875f14e848a7b1dea9cad29a0"	"2019-10-19T01:49:07-05:00"	"THERM_FACTOR"	"scenario"
"NEPOOL_UI_2210007662021"	"4065533627424c3b8fab96a06e930c44"	"2019-10-19T01:48:44-05:00"	"THERM_FACTOR"	"scenario"
